word,score
stop,-1
failure,-2
supporting,1
fidgety,-2
swindles,-3
forced,-1
travesty,-2
gaining,2
unacceptable,-2
god,1
urgent,-1
harmed,-2
victimizes,-3
heartbroken,-3
hopeful,2
humerous,3
humour,2
ignore,-1
destroyed,-3
detained,-2
disgraced,-2
restored,1
disrespected,-2
roflmao,4
drained,-2
screaming,-2
embarrasses,-2
shortage,-2
enraging,-2
smog,-2
evil,-3
splendid,3
fatality,-3
sullen,-2
free,1
thwarted,-2
fucked,-4
touting,-2
happy,3
verdict,-1
hid,-1
wanker,-3
faith,1
stunned,-2
great,3
unfocused,-2
gloomy,-2
unconfirmed,-1
dirt,-2
yearning,1
dismayed,-2
rewards,2
disturbed,-2
satisfied,2
dreaded,-2
severe,-2
energetic,2
slam,-2
escape,-1
soothed,3
exploit,-2
stereotype,-2
exposes,-1
strengthened,2
fit,1
suspended,-1
fondness,2
terrific,4
furious,-3
trouble,-2
grieved,-2
unstoppable,2
haunts,-1
violated,-2
deniers,-2
demonstration,-1
despair,-3
desirable,2
admiring,3
admires,3
resign,-1
discouraged,-2
riots,-2
disruption,-2
scandals,-3
downside,-2
shared,1
elegant,2
slavery,-3
enrapture,3
sorrowful,-2
excluded,-2
stressors,-2
fascinate,3
substantial,1
fearing,-2
thank,2
frustrated,-2
tits,-2
fun,4
upset,-2
hate,-3
virulent,-2
honoring,2
tumor,-2
grant,1
unethical,-2
greeted,1
adopts,1
remarkable,2
retarded,-2
disorder,-2
sabotage,-2
disturbing,-2
seditious,-2
dull,-2
significant,1
endorsement,2
snubs,-2
escapes,-1
stable,2
exploited,-2
stimulates,1
failed,-2
suspects,-1
flagship,2
swift,2
fortunate,2
trapped,-2
giddy,-2
unintelligent,-2
hahahah,3
vicious,-2
helping,2
abhors,-3
absentee,-1
accidental,-2
accomplished,2
worried,-3
worthy,2
discounted,-1
restoring,1
disputing,-2
rob,-2
doomed,-2
screwed,-2
earnest,2
shrew,-4
enjoys,2
smart,1
exaggerates,-2
spark,1
falsified,-3
stupid,-2
favorite,2
sucks,-3
frightened,-2
thoughtless,-2
fuked,-4
torn,-2
gullible,-2
unmatched,1
hindrance,-2
vitality,3
green washing,-3
undermining,-2
godsend,4
unapproved,-2
yeees,2
improve,2
disguised,-1
ridiculous,-3
distracts,-2
saved,2
dreading,-2
shaky,-2
empathetic,2
sincerest,2
entitled,1
sophisticated,2
exonerated,2
stampede,-2
fabulous,4
strengthens,2
fine,2
supports,2
foreclosures,-2
sympathetic,2
gallant,3
treasonous,-3
harming,-2
useful,2
heaven,2
victimizing,-3
warned,-2
weird,-2
whitewash,-3
woeful,-3
acquits,2
admits,-1
restricted,-2
robust,2
scams,-2
shamed,-2
smiled,2
stab,-2
stressed,-2
superb,5
timid,-2
tragic,-2
vexation,-2
warfare,-2
stupidly,-2
undecided,-1
unhealthy,-2
direful,-3
repulsed,-2
resentful,-2
salient,1
secured,2
sick,-2
some kind,0
stimulate,1
swearing,-2
terrorize,-3
true,2
untarnished,2
violence,-3
abductions,-2
absolved,2
accepted,1
accusations,-2
admitted,-1
admired,3
disoriented,-2
disqualified,-2
doubted,-1
embarrass,-2
enlightened,2
exclusive,2
flop,-2
frustrating,-2
funerals,-1
haters,-3
honoured,2
fascinates,3
greetings,2
granting,1
disappointed,-2
relishing,2
disdain,-2
distress,-2
droopy,-2
enemies,-2
envies,-1
exploits,-2
fails,-2
fearsome,-2
fraud,-4
glad,3
hailed,2
heavenly,4
abhorred,-3
aboard,1
accepts,1
accomplish,2
reassuring,2
redeemed,2
restrict,-2
disconsolation,-2
rofl,4
disregarding,-2
screwed up,-3
douche,-3
shy,-1
effective,2
smiles,2
enrage,-2
sorry,-1
excited,3
substantially,1
favorites,2
thankful,2
frikin,-2
tired,-2
fulfill,2
unworthy,-2
harried,-2
vision,1
homesick,-2
stimulating,2
fag,-3
twat,-5
goodness,3
underestimating,-1
greenwasher,-3
relentless,-1
disabling,-1
rewarded,2
disjointed,-2
sappy,-1
distrust,-3
secure,2
drowns,-2
slashes,-2
encouragement,2
son-of-a-bitch,-5
erroneous,-2
steal,-2
expelled,-2
stricken,-2
fame,1
suspecting,-1
fired,-2
swiftly,2
forgetful,-2
trap,-1
gallantry,3
unimpressed,-2
ha,2
victim,-3
heavyhearted,-2
questioned,-1
pushy,-1
reach,1
raptures,2
detention,-2
destruction,-3
restless,-2
disconsolate,-2
risk,-2
dissatisfied,-2
scapegoats,-2
doubts,-1
shattered,-2
ecstatic,4
slickest,2
enslaves,-2
spammers,-3
excellence,3
struck,-1
falling,-1
suffering,-2
favored,2
threaten,-2
fright,-2
tortured,-4
fud,-3
unprofessional,-2
gullibility,-2
vitriolic,-3
hilarious,2
undesirable,-2
green wash,-3
unbelievable,-1
goddamn,-3
disappeared,-1
wrong,-2
restricting,-2
disinclined,-2
sad,-2
distressing,-2
secures,2
drowned,-2
silly,-1
encouraged,2
solidarity,2
envious,-2
stalling,-2
expand,1
stout,2
exultantly,3
surviving,2
fight,-1
tard,-2
foreclosure,-2
treasures,2
gains,2
useless,-2
harmful,-2
vigilant,3
heartfelt,3
demand,-1
demanding,-1
derided,-2
deriding,-2
